ticker    ,name                                                                                   ,sector                ,industry                                             ,exchange,market_cap,enterprise_value,last_price,price_target,composite_quality_score,quality_tier
YUMC      ,Yum China Holdings Inc.                                                                ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,NYSE    ,17428.28  ,17820.28        ,49.42     ,58.2914     ,77.497198007472        ,High
A042700   ,HANMI Semiconductor Co. Ltd.                                                           ,Information Technology,Semiconductors and Semiconductor Equipment           ,KOSE    ,13808.18  ,13672.8         ,211000.0  ,148900.0    ,77.42769302615194      ,High
2360      ,Chroma ATE Inc.                                                                        ,Information Technology,Electronic Equipment Instruments and Components      ,TWSE    ,13140.3   ,13068.34        ,980.0     ,878.8461    ,77.37437733499378      ,High
2059      ,King Slide Works Co. Ltd.                                                              ,Information Technology,Technology Hardware Storage and Peripherals          ,TWSE    ,9470.29   ,8896.0          ,3140.0    ,4615.5      ,77.32798879202991      ,High
VRC       ,Vercom S.A.                                                                            ,Information Technology,Software                                             ,WSE     ,841.94    ,846.09          ,135.8     ,142.92      ,77.31724782067249      ,High
MYRG      ,MYR Group Inc.                                                                         ,Industrials           ,Construction and Engineering                         ,NasdaqGS,3881.33   ,3924.08         ,250.04    ,254.3333    ,77.26268679950189      ,High
TJX       ,The TJX Companies Inc.                                                                 ,Consumer Discretionary,Specialty Retail                                     ,NYSE    ,166359.08 ,174913.08       ,149.81    ,164.8333    ,77.21396326276464      ,High
RYA       ,Ryanair Holdings plc                                                                   ,Industrials           ,Passenger Airlines                                   ,ISE     ,35689.37  ,34579.6         ,28.61     ,32.4452     ,76.94232565379828      ,High
6857      ,Advantest Corporation                                                                  ,Information Technology,Semiconductors and Semiconductor Equipment           ,TSE     ,119681.41 ,118142.8        ,25505.0   ,24121.0526  ,76.889399128269        ,High
ALSN      ,Allison Transmission Holdings Inc.                                                     ,Industrials           ,Machinery                                            ,NYSE    ,9046.96   ,10536.96        ,108.7     ,114.8       ,76.86659402241594      ,High
ADNOCDRILL,ADNOC Drilling Company P.J.S.C.                                                        ,Energy                ,Energy Equipment and Services                        ,ADX     ,23207.12  ,24947.67        ,5.33      ,6.6195      ,76.85772104607723      ,High
SHO       ,Shoper S.A.                                                                            ,Information Technology,Software                                             ,WSE     ,412.93    ,409.67          ,52.0      ,55.636      ,76.81382316313824      ,High
6510      ,Chunghwa Precision Test Tech. Co. Ltd.                                                 ,Information Technology,Electronic Equipment Instruments and Components      ,TPEX    ,3429.68   ,3304.82         ,3305.0    ,2750.0      ,76.80012453300127      ,High
OII       ,Oceaneering International Inc.                                                         ,Energy                ,Energy Equipment and Services                        ,NYSE    ,3003.23   ,3396.23         ,30.1      ,24.5        ,76.72478206724783      ,High
5274      ,ASPEED Technology Inc.                                                                 ,Information Technology,Semiconductors and Semiconductor Equipment           ,TPEX    ,10624.13  ,10474.12        ,8880.0    ,8774.375    ,76.70540161892903      ,High
VFQS      ,Vodafone Qatar P.Q.S.C.                                                                ,Communication Services,Wireless Telecommunication Services                  ,DSM     ,2953.85   ,3060.95         ,2.544     ,2.88        ,76.67092154420924      ,High
A443060   ,HD HYUNDAI Marine Solution CO.LTD.                                                     ,Industrials           ,Machinery                                            ,KOSE    ,5672.62   ,5328.98         ,183400.0  ,268750.0    ,76.6616594022416       ,High
KALYANKJIL,Kalyan Jewellers India Limited                                                         ,Consumer Discretionary,Textiles Apparel and Luxury Goods                    ,NSEI    ,4073.17   ,4567.37         ,361.65    ,679.4444    ,76.58499377334995      ,High
MLM       ,Martin Marietta Materials Inc.                                                         ,Materials             ,Construction Materials                               ,NYSE    ,39317.24  ,45166.24        ,651.95    ,682.7917    ,76.53455790784558      ,High
RACE      ,Ferrari N.V.                                                                           ,Consumer Discretionary,Automobiles                                          ,BIT     ,59095.84  ,60872.41        ,280.8     ,369.25      ,76.50186799501869      ,High
HRB       ,H&R Block Inc.                                                                         ,Consumer Discretionary,Diversified Consumer Services                        ,NYSE    ,4987.48   ,6857.18         ,39.45     ,55.0        ,76.49424034869241      ,High
CFX       ,Colefax Group PLC                                                                      ,Consumer Discretionary,Household Durables                                   ,AIM     ,81.55     ,84.44           ,11.5      ,10.5        ,76.43796699875469      ,High
CAT       ,Caterpillar Inc.                                                                       ,Industrials           ,Machinery                                            ,NYSE    ,307631.07 ,341628.07       ,657.36    ,639.1104    ,76.4192092154421       ,High
URBN      ,Urban Outfitters Inc.                                                                  ,Consumer Discretionary,Specialty Retail                                     ,NasdaqGS,6353.75   ,6596.3          ,70.85     ,85.25       ,76.38636363636365      ,High
BDGI      ,Badger Infrastructure Solutions Ltd.                                                   ,Industrials           ,Construction and Engineering                         ,TSX     ,1907.76   ,2167.62         ,76.99     ,81.8333     ,76.38177148194274      ,High
TRGP      ,Targa Resources Corp.                                                                  ,Energy                ,Oil Gas and Consumable Fuels                         ,NYSE    ,43142.08  ,60576.28        ,200.98    ,212.25      ,76.33304794520551      ,High
603993    ,CMOC Group Limited                                                                     ,Materials             ,Metals and Mining                                    ,SHSE    ,72355.55  ,73063.02        ,24.33     ,28.94       ,76.22509339975093      ,High
GOOGL     ,Alphabet Inc.                                                                          ,Communication Services,Interactive Media and Services                       ,NasdaqGS,4081511.71,4027210.71      ,338.0     ,344.4659    ,76.21583125778331      ,High
ABS       ,Asseco Business Solutions S.A.                                                         ,Information Technology,Software                                             ,WSE     ,786.15    ,796.19          ,84.4      ,74.0        ,76.21186176836864      ,High
RL        ,Ralph Lauren Corporation                                                               ,Consumer Discretionary,Textiles Apparel and Luxury Goods                    ,NYSE    ,21431.01  ,22657.71        ,353.41    ,391.8       ,76.16609589041097      ,High
SSD       ,Simpson Manufacturing Co. Inc.                                                         ,Industrials           ,Building Products                                    ,NYSE    ,7329.17   ,7497.64         ,176.78    ,194.75      ,76.13068181818183      ,High
SRB       ,Serabi Gold plc                                                                        ,Materials             ,Metals and Mining                                    ,AIM     ,340.48    ,307.46          ,3.275     ,4.3118      ,76.09114259028642      ,High
USLM      ,United States Lime & Minerals Inc.                                                     ,Materials             ,Construction Materials                               ,NasdaqGS,3442.38   ,3097.19         ,120.53    ,125.0       ,76.0772882938979       ,High
WMT       ,Walmart Inc.                                                                           ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,NasdaqGS,949565.69 ,1013825.69      ,119.14    ,124.275     ,76.04724470734746      ,High
A064350   ,Hyundai Rotem Company                                                                  ,Industrials           ,Machinery                                            ,KOSE    ,17356.68  ,16683.62        ,230500.0  ,298947.3684 ,75.98155354919055      ,High
4401      ,Adeka Corporation                                                                      ,Materials             ,Chemicals                                            ,TSE     ,2931.53   ,2848.5          ,4585.0    ,4238.0      ,75.88574097135742      ,High
000975    ,Shanjin International Gold Co. Ltd.                                                    ,Materials             ,Metals and Mining                                    ,SZSE    ,13907.57  ,13551.99        ,34.84     ,25.575      ,75.87951432129518      ,High
RICHTER   ,Gedeon Richter PLC                                                                     ,Health Care           ,Pharmaceuticals                                      ,BUSE    ,6125.75   ,5735.44         ,10770.0   ,11949.375   ,75.78611457036115      ,High
ETN       ,Eaton Corporation plc                                                                  ,Industrials           ,Electrical Equipment                                 ,NYSE    ,136491.53 ,147235.53       ,351.42    ,396.8042    ,75.78284557907847      ,High
CRAI      ,CRA International Inc.                                                                 ,Industrials           ,Professional Services                                ,NasdaqGS,1239.87   ,1411.71         ,188.94    ,252.5       ,75.67971668742219      ,High
FTNT      ,Fortinet Inc.                                                                          ,Information Technology,Software                                             ,NasdaqGS,60428.84  ,58394.24        ,81.26     ,87.2727     ,75.6660180572852       ,High
RAA       ,RATIONAL Aktiengesellschaft                                                            ,Industrials           ,Machinery                                            ,XTRA    ,9158.68   ,8584.99         ,678.0     ,767.5714    ,75.65473225404733      ,High
6223      ,MPI Corporation                                                                        ,Information Technology,Semiconductors and Semiconductor Equipment           ,TPEX    ,7556.15   ,7562.53         ,2515.0    ,2615.625    ,75.60437422166875      ,High
6501      ,Hitachi Ltd.                                                                           ,Industrials           ,Industrial Conglomerates                             ,TSE     ,156247.66 ,154509.1        ,5361.0    ,5670.2639   ,75.49766500622667      ,High
HUG       ,Huuuge Inc.                                                                            ,Communication Services,Entertainment                                        ,WSE     ,290.63    ,85.18           ,25.15     ,26.1033     ,75.4220890410959       ,High
ART       ,Arteche Lantegi Elkartea S.A.                                                          ,Industrials           ,Electrical Equipment                                 ,BME     ,1571.43   ,1623.64         ,23.2      ,20.8667     ,75.32845579078459      ,High
NTPC      ,NTPC Limited                                                                           ,Utilities             ,Independent Power and Renewable Electricity Producers,NSEI    ,37649.4   ,65389.75        ,356.0     ,414.8       ,75.3114103362391       ,High
IDXX      ,IDEXX Laboratories Inc.                                                                ,Health Care           ,Health Care Equipment and Supplies                   ,NasdaqGS,53537.12  ,54441.92        ,670.46    ,766.0       ,75.2784090909091       ,High
RVRC      ,RVRC Holding AB (publ)                                                                 ,Consumer Discretionary,Specialty Retail                                     ,OM      ,809.43    ,770.98          ,68.25     ,78.0        ,75.23139788293898      ,High
HALO      ,Halozyme Therapeutics Inc.                                                             ,Health Care           ,Biotechnology                                        ,NasdaqGS,8432.88   ,9269.78         ,71.71     ,78.0        ,75.23038605230388      ,High
WSM       ,Williams-Sonoma Inc.                                                                   ,Consumer Discretionary,Specialty Retail                                     ,NYSE    ,24431.26  ,25012.36        ,204.65    ,202.1579    ,75.20991594022416      ,High
POWERINDIA,Hitachi Energy India Limited                                                           ,Industrials           ,Electrical Equipment                                 ,NSEI    ,9169.36   ,8670.45         ,18862.0   ,22733.3077  ,75.20991594022416      ,High
FERG      ,Ferguson Enterprises Inc.                                                              ,Industrials           ,Trading Companies and Distributors                   ,NYSE    ,49367.53  ,54860.53        ,252.46    ,261.3636    ,75.08927459526777      ,High
RVLV      ,Revolve Group Inc.                                                                     ,Consumer Discretionary,Specialty Retail                                     ,NYSE    ,1972.39   ,1692.26         ,27.65     ,29.0714     ,75.07518679950189      ,High
PERSISTENT,Persistent Systems Limited                                                             ,Information Technology,IT Services                                          ,NSEI    ,9823.75   ,9629.3          ,6035.0    ,6817.5429   ,75.06265566625157      ,High
HUBG      ,Hub Group Inc.                                                                         ,Industrials           ,Air Freight and Logistics                            ,NasdaqGS,2909.68   ,3341.88         ,47.58     ,48.0        ,75.01136363636365      ,High
STRL      ,Sterling Infrastructure Inc.                                                           ,Industrials           ,Construction and Engineering                         ,NasdaqGS,10994.77  ,11081.45        ,357.91    ,443.25      ,74.83437110834372      ,High
CHDRAUIB  ,Grupo Comercial Chedraui S.A.B. de C.V.                                                ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,BMV     ,6589.64   ,9432.53         ,119.97    ,155.9333    ,74.83429327521793      ,High
GMEXICOB  ,Grupo México S.A.B. de C.V.                                                            ,Materials             ,Metals and Mining                                    ,BMV     ,86457.92  ,80736.76        ,194.05    ,177.9574    ,74.78790473225405      ,High
THR       ,Thermon Group Holdings Inc.                                                            ,Industrials           ,Electrical Equipment                                 ,NYSE    ,1486.01   ,1607.88         ,45.25     ,37.0        ,74.7848692403487       ,High
LMAT      ,LeMaitre Vascular Inc.                                                                 ,Health Care           ,Health Care Equipment and Supplies                   ,NasdaqGM,1927.63   ,1770.21         ,84.97     ,103.6667    ,74.72945205479454      ,High
ZM        ,Zoom Communications Inc.                                                               ,Information Technology,Software                                             ,NasdaqGS,27270.9   ,19376.06        ,92.1      ,96.9231     ,74.51089663760898      ,High
HWM       ,Howmet Aerospace Inc.                                                                  ,Industrials           ,Aerospace and Defense                                ,NYSE    ,83661.12  ,86405.12        ,208.08    ,246.746     ,74.50965130759654      ,High
INDUSTOWER,Indus Towers Limited                                                                   ,Communication Services,Diversified Telecommunication Services               ,NSEI    ,12778.92  ,14578.52        ,444.3     ,442.7826    ,74.47820672478208      ,High
ROL       ,Rollins Inc.                                                                           ,Industrials           ,Commercial Services and Supplies                     ,NYSE    ,30476.08  ,31260.8         ,63.34     ,65.2786     ,74.47556039850562      ,High
EXPD      ,Expeditors International of Washington Inc.                                            ,Industrials           ,Air Freight and Logistics                            ,NYSE    ,21515.72  ,20888.15        ,160.54    ,140.4667    ,74.42333437110837      ,High
IDCC      ,InterDigital Inc.                                                                      ,Information Technology,Software                                             ,NasdaqGS,8404.05   ,7628.66         ,326.44    ,462.6667    ,74.4153175591532       ,High
ATAT      ,Atour Lifestyle Holdings Limited                                                       ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,NasdaqGS,4917.65   ,4341.33         ,35.74     ,48.8822     ,74.35896637608968      ,High
2404      ,United Integrated Services Co. Ltd.                                                    ,Industrials           ,Construction and Engineering                         ,TWSE    ,5419.4    ,4091.7          ,908.0     ,1160.0      ,74.34441158156913      ,High
300274    ,Sungrow Power Supply Co. Ltd.                                                          ,Industrials           ,Electrical Equipment                                 ,SZSE    ,44591.93  ,42098.74        ,151.0     ,193.2431    ,74.30853051058533      ,High
OGC       ,OceanaGold Corporation                                                                 ,Materials             ,Metals and Mining                                    ,TSX     ,7297.88   ,7118.86         ,44.12     ,53.9325     ,74.24400684931508      ,High
TNL       ,Travel + Leisure Co.                                                                   ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,NYSE    ,4473.4    ,9950.4          ,69.54     ,78.3333     ,74.22120174346202      ,High
HLAN      ,Hilan Ltd.                                                                             ,Industrials           ,Professional Services                                ,TASE    ,1834.11   ,1828.01         ,247.6     ,324.4       ,74.21980074719802      ,High
6902      ,DENSO Corporation                                                                      ,Consumer Discretionary,Automobile Components                                ,TSE     ,37275.9   ,38490.08        ,2143.0    ,2418.125    ,74.20415628891656      ,High
LDOS      ,Leidos Holdings Inc.                                                                   ,Industrials           ,Professional Services                                ,NYSE    ,24072.57  ,28372.57        ,188.28    ,219.3077    ,74.1735678704857       ,High
ICT       ,International Container Terminal Services Inc.                                         ,Industrials           ,Transportation Infrastructure                        ,PSE     ,21996.05  ,25489.94        ,642.0     ,671.1736    ,74.14461394769614      ,High
MPE       ,M.P. Evans Group PLC                                                                   ,Consumer Staples      ,Food Products                                        ,AIM     ,931.77    ,868.46          ,13.05     ,15.9596     ,74.13005915317561      ,High
A039030   ,EO Technics Co. Ltd.                                                                   ,Information Technology,Semiconductors and Semiconductor Equipment           ,KOSDAQ  ,3139.45   ,2925.58         ,376000.0  ,308833.3333 ,74.11441469489417      ,High
ODL       ,Odfjell Drilling Ltd.                                                                  ,Energy                ,Energy Equipment and Services                        ,OB      ,2392.5    ,2913.33         ,95.7      ,104.744     ,74.10865504358657      ,High
CASY      ,Casey's General Stores Inc.                                                            ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,NasdaqGS,22481.09  ,24906.7         ,606.5     ,641.5333    ,74.07409713574098      ,High
EXENS     ,Exosens                                                                                ,Industrials           ,Aerospace and Defense                                ,ENXTPA  ,3250.67   ,3462.93         ,53.9      ,51.92       ,74.06358966376092      ,High
NVDA      ,NVIDIA Corporation                                                                     ,Information Technology,Semiconductors and Semiconductor Equipment           ,NasdaqGS,4644267.87,4594481.87      ,191.13    ,253.1903    ,74.06281133250313      ,High
IDT       ,IDT Corporation                                                                        ,Communication Services,Diversified Telecommunication Services               ,NYSE    ,1219.32   ,1027.99         ,48.63     ,80.0        ,74.01105230386054      ,High
ONE       ,One Software Technologies Ltd                                                          ,Information Technology,IT Services                                          ,TASE    ,2121.59   ,2097.57         ,89.3      ,98.3        ,74.00786114570363      ,High
ROST      ,Ross Stores Inc.                                                                       ,Consumer Discretionary,Specialty Retail                                     ,NasdaqGS,61017.89  ,62145.3         ,188.65    ,193.25      ,73.99291718555419      ,High
2330      ,Taiwan Semiconductor Manufacturing Company Limited                                     ,Information Technology,Semiconductors and Semiconductor Equipment           ,TWSE    ,1456791.15,1392410.33      ,1775.0    ,2181.0371   ,73.9921388542964       ,High
SOLARINDS ,Solar Industries India Limited                                                         ,Materials             ,Chemicals                                            ,NSEI    ,13303.82  ,13376.56        ,13480.0   ,17167.0     ,73.88799813200498      ,High
CTAS      ,Cintas Corporation                                                                     ,Industrials           ,Commercial Services and Supplies                     ,NasdaqGS,76534.88  ,79571.1         ,191.39    ,216.7778    ,73.88784246575342      ,High
ASURB     ,Grupo Aeroportuario del Sureste S. A. B. de C. V.                                      ,Industrials           ,Transportation Infrastructure                        ,BMV     ,10380.76  ,11078.19        ,604.61    ,671.24      ,73.88480697384807      ,High
7020      ,Etihad Etisalat Company                                                                ,Communication Services,Wireless Telecommunication Services                  ,SASE    ,14452.77  ,16116.55        ,70.4      ,75.1769     ,73.857798879203        ,High
HWKN      ,Hawkins Inc.                                                                           ,Materials             ,Chemicals                                            ,NasdaqGS,2722.5    ,2992.58         ,130.25    ,188.0       ,73.84892590286427      ,High
DY        ,Dycom Industries Inc.                                                                  ,Industrials           ,Construction and Engineering                         ,NYSE    ,10919.72  ,11863.97        ,364.39    ,405.5455    ,73.82067247820673      ,High
LLY       ,Eli Lilly and Company                                                                  ,Health Care           ,Pharmaceuticals                                      ,NYSE    ,928643.94 ,961045.84       ,1037.1499 ,1133.9286   ,73.67590286425904      ,High
CACI      ,CACI International Inc                                                                 ,Industrials           ,Professional Services                                ,NYSE    ,13705.99  ,16671.57        ,620.58    ,713.5       ,73.6527085927771       ,High
LOPE      ,Grand Canyon Education Inc.                                                            ,Consumer Discretionary,Diversified Consumer Services                        ,NasdaqGS,4803.46   ,4637.01         ,173.84    ,222.6667    ,73.65263075965132      ,High
ASSAB     ,ASSA ABLOY AB (publ)                                                                   ,Industrials           ,Building Products                                    ,OM      ,45084.71  ,52566.12        ,359.9     ,381.0       ,73.64033312577834      ,High
FORTIS    ,Fortis Healthcare Limited                                                              ,Health Care           ,Health Care Providers and Services                   ,NSEI    ,7011.21   ,7342.2          ,851.5     ,1070.8824   ,73.62819115815692      ,High
ALSTW     ,Streamwide S.A.                                                                        ,Information Technology,Software                                             ,ENXTPA  ,238.34    ,231.7           ,75.6      ,70.0        ,73.5980697384807       ,High
LAUR      ,Laureate Education Inc.                                                                ,Consumer Discretionary,Diversified Consumer Services                        ,NasdaqGS,5054.76   ,5253.01         ,34.3      ,38.1667     ,73.56981631382318      ,High
S59       ,SIA Engineering Company Limited                                                        ,Industrials           ,Transportation Infrastructure                        ,SGX     ,2902.93   ,2538.14         ,3.3       ,4.015       ,73.55705168119555      ,High
A214450   ,PharmaResearch Co. Ltd.                                                                ,Health Care           ,Biotechnology                                        ,KOSDAQ  ,3394.09   ,3187.52         ,473500.0  ,724846.1539 ,73.53331257783313      ,High
8210      ,Chenbro Micom Co. Ltd.                                                                 ,Information Technology,Technology Hardware Storage and Peripherals          ,TWSE    ,3482.26   ,3429.37         ,905.0     ,995.875     ,73.50568181818183      ,High
